Name,Address,Website,Phone Number
Medicare Cardiac & General Hospital,"22-23 Shaheed-e-Millat Rd, Bihar Muslim Society BMCHS Sharafabad, Karachi, Karachi City, Sindh",http://www.medicarehospital.pk/,021111001786
Tahir Medical Centre Hospital,"419/A Amir Khusro Road, C.P. & Berar Society Cp & Berar Chs, Karachi, Karachi City, Sindh 75300",http://www.tmchospital.com/,02134380163
Zubaida Medical Centre (ZMC),"Ghazi Salahuddin Road، near Dhoraji Colony, C.P. & Berar Society Cp & Berar Chs, Karachi, Karachi City, Sindh",http://www.zmc.com.pk/,021111111962
Jamal Noor Hospital,"V3PG+FGP, Dhoraji Cp & Berar Chs, Karachi, Karachi City, Sindh 74800",http://www.jamalnoorhospital.com/,02138798111
Osmania General Hospital,"V3P3+P82, Jail Rd, Hyderabad Colony Karachi, Karachi City, Sindh",N/A,02134120292
Bagh E Halar General Hospital,"V2F9+456, Nishtar Rd, Garden West Area, Karachi, Karachi City, Sindh 75600",https://www.facebook.com/profile.php?id=100086569430626,02132231660
Kharadar General Hospital,"Agha Khan Road, Nawab Mahabat Khanji Rd, Dharamsala Kharadar, Karachi, Karachi City, Sindh",http://www.kgh.org.pk/,021111544544
Sohail Trust hospital,"Street 6, Sector 7-A Sector 7 A Korangi Industrial Area, Karachi, Karachi City, Sindh",http://www.jmc.edu.pk/,02135071854
Altamash General Hospital,"ST-9 A Street, behind behbud association، Block 1 Clifton, Karachi, Karachi City, Sindh 75500",https://altamashhospital.com/,02135187001
Rajput General Hospital,"B 16C, Block, 4A Abul Hasan Isphahani Rd, Block 4A Block 4 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",N/A,02134804440
Dr. Ziauddin Hospital Clifton Campus,"4/B Shahrah-e-Ghalib Rd, Block 6 Clifton, Karachi, Karachi City, Sindh 75600",https://www.ziauddinhospital.com/,021111942942
Al Shafi Hospital,"130 Shara Road, Napier Quarter, Karachi, Karachi City, Sindh",N/A,03005008967
Darul Sehat Hospital,"Darul Sehat Hospital, ST-19, Block 15 Gulistan-e-Johar, Karachi, Sindh",http://www.dsh.com.pk/,021111300999
Dr. Ziauddin Hospital North Nazimabad Campus,"Allama Rasheed Turabi Rd, Wahid Colony, Karachi, Karachi City, Sindh 74700",http://www.ziauddinhospital.com/,021111942942
Chiniot General Hospital,"3 Street 1, Sector 41 B Korangi Township, Karachi, Karachi City, Sindh",http://www.cgh-k.com/,02135063443
Star General Hospital,"CM 46 shamsi cooperative society, wireless gate, Shah Faisal, Malir, Shamsi Society Shah Faisal Colony, Karachi, Karachi City, Sindh 75210",http://stargeneralhospital.pk/,03339276111
Patel Hospital,"ST-18, Block 4 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300",https://patel-hospital.org.pk/,021111174174
Fahmeeda Memorial Hospital,"V5CQ+873, Rafi Bungalows Bagh e Ibrahim Society Shah Faisal Colony, Karachi, Karachi City, Sindh",N/A,N/A
Alico General Hospital,"Block 4 Mughal Hazara Goth Block 4 Gulistan-e-Johar, Karachi, Karachi City, Sindh",N/A,N/A
Memon Medical Institute Hospital,"Hyder Buksh، Safoora Chowrangi، Gabol Road, Karachi",https://www.mmi.edu.pk/,021111664664
QuratulAin General Hospital,"Main Road, Napier Quarter, Karachi, Karachi City, Sindh",N/A,03333138140
Hassan General Hospital,"Plot No A، 58-59 Shahrah-e-Faisal Rd، Malir Colony Darakhshan Cooperative Housing Society Malir, Karachi, Karachi City, Sindh",N/A,02134513000
Akhtar Doctor Clinic,"W2H6+FX3, Metroville Pathan Colony, Karachi, Karachi City, Sindh 75841",N/A,03453513017
East City Hospital,"Plot No. AS-11 1/2، Ahsanabaad، next to the bright nursing college Infront of mashriqi society، Ahsanabad Co-operative society sector 2 scheme 33, Karachi, Sindh 07527",N/A,02136880033
Dr Yasmeen Taufeeq Hospital,"W4W2+QVX, Gulzar-e-Hijri Block 3/1 Metrovil Colony, Karachi, Karachi City, Sindh",N/A,02134651912
Naz General Hospital,"WXGX+MQV, Metroville Sector 3 Sindh Industrial Trading Estate, Karachi, Karachi City, Sindh",N/A,N/A
Sindh Medical Centre & Maternity Home,"W622+MC2, Khursheed Rd N, Malir, Karachi, Sindh, Indus Mehran",N/A,02134514476
Taha Clinic,"R4H9+JJJ, P&T Society P&T Chs Sector 31 D Korangi, Karachi, Karachi City, Sindh",N/A,N/A
Kamran poly clinic,"G320, Korangi 51، 2, Sector 50 H Korangi, Karachi, Karachi City, Sindh",N/A,03040226725
Becham General hospital,"Beecham Town St, Bin Qasim Town, Karachi, Karachi City, Sindh",N/A,03102447066
Salahuddin medical centre and maternity home,"V2WP+HC6, Haji Mureed Goth Liaquatabad Town, Karachi, Karachi City, Sindh",N/A,N/A
پٹنی ویلفیئر ہسپتال,"WX48+3Q9, New Anjam Colony Anjum Colony, Karachi, Karachi City, Sindh",N/A,N/A
Ayesha General Hospital,"V986+W3Q, C-50 Phase 2،, Side Rd, Gulshan-e-Hadeed Gulshan e Hadeed Phase 3 Bin Qasim Town, Karachi, Karachi City, Sindh 75010",N/A,02134716608
,,https://www.linkedin.com/company/77013395,03362406568
,,http://escribe.net.pk/,03302756896
,,N/A,N/A
,,N/A,N/A
,,N/A,03158833148
,,N/A,03061820206
,,N/A,03112977133
,,N/A,N/A
,,N/A,03458082808
,,N/A,03452823648
,,N/A,N/A
,,N/A,N/A
,,N/A,03332567894
,,N/A,N/A
,,N/A,03055212260
,,N/A,03452810177
,,https://www.facebook.com/Dr.SaimaKakar?mibextid=LQQJ4d,N/A
,,N/A,N/A
