Name,Link
Medicare Cardiac & General Hospital,https://www.google.com/maps/place/Medicare+Cardiac+%26+General+Hospital/data=!4m7!3m6!1s0x3eb33eec6e4370df:0xb722ed2c70d29913!8m2!3d24.8810813!4d67.0634614!16s%2Fg%2F1q5gmjfmz!19sChIJ33BDbuw-sz4RE5nScCztIrc?authuser=0&hl=en&rclk=1
Tahir Medical Centre Hospital,https://www.google.com/maps/place/Tahir+Medical+Centre+Hospital/data=!4m7!3m6!1s0x3eb33ec7d96cdc3f:0xccf6571fe3cc6b78!8m2!3d24.882443!4d67.0819425!16s%2Fg%2F1td4c06p!19sChIJP9xs2cc-sz4ReGvM4x9X9sw?authuser=0&hl=en&rclk=1
Zubaida Medical Centre (ZMC),https://www.google.com/maps/place/Zubaida+Medical+Centre+%28ZMC%29/data=!4m7!3m6!1s0x3eb33ec7d5463b7b:0xfdb32d264eda0266!8m2!3d24.8832302!4d67.0821474!16s%2Fg%2F1tfqd8pw!19sChIJeztG1cc-sz4RZgLaTiYts_0?authuser=0&hl=en&rclk=1
Jamal Noor Hospital,https://www.google.com/maps/place/Jamal+Noor+Hospital/data=!4m7!3m6!1s0x3eb33ec4098d43cf:0x52d2ee27490b4f9!8m2!3d24.8862209!4d67.0763226!16s%2Fg%2F11g6wqk1v6!19sChIJz0ONCcQ-sz4R-bSQdOIuLQU?authuser=0&hl=en&rclk=1
Osmania General Hospital,https://www.google.com/maps/place/Osmania+General+Hospital/data=!4m7!3m6!1s0x3eb33ef0a6715af3:0x29c62b40332ee1c9!8m2!3d24.8867563!4d67.0532524!16s%2Fg%2F1trpjpcl!19sChIJ81pxpvA-sz4RyeEuM0Arxik?authuser=0&hl=en&rclk=1
Bagh E Halar General Hospital,https://www.google.com/maps/place/Bagh+E+Halar+General+Hospital/data=!4m7!3m6!1s0x3eb33e3e62189ffb:0xd526f60852cf00a!8m2!3d24.8727569!4d67.0179478!16s%2Fg%2F1tc_742c!19sChIJ-58YYj4-sz4RCvAshWBvUg0?authuser=0&hl=en&rclk=1
Kharadar General Hospital,https://www.google.com/maps/place/Kharadar+General+Hospital/data=!4m7!3m6!1s0x3eb315f9b7119e91:0xdffc0f2cffb85aa2!8m2!3d24.8536473!4d66.995215!16s%2Fg%2F1vsppzz1!19sChIJkZ4Rt_kVsz4Rolq4_ywP_N8?authuser=0&hl=en&rclk=1
Sohail Trust hospital,https://www.google.com/maps/place/Sohail+Trust+hospital/data=!4m7!3m6!1s0x3eb33bddc2342861:0x931e4d06beecfd77!8m2!3d24.8575392!4d67.1196443!16s%2Fg%2F1ths7v0l!19sChIJYSg0wt07sz4Rd_3svgZNHpM?authuser=0&hl=en&rclk=1
Altamash General Hospital,https://www.google.com/maps/place/Altamash+General+Hospital/data=!4m7!3m6!1s0x3eb33d7dcd95c391:0xac134c3bb1a8da4c!8m2!3d24.8153116!4d67.0025373!16s%2Fg%2F11b6dyk_46!19sChIJkcOVzX09sz4RTNqosTtME6w?authuser=0&hl=en&rclk=1
Rajput General Hospital,https://www.google.com/maps/place/Rajput+General+Hospital/data=!4m7!3m6!1s0x3eb338b1ef120eab:0x1e6a62903e7cb616!8m2!3d24.9388562!4d67.1009619!16s%2Fg%2F1tcw__py!19sChIJqw4S77E4sz4RFrZ8PpBiah4?authuser=0&hl=en&rclk=1
Dr. Ziauddin Hospital Clifton Campus,https://www.google.com/maps/place/Dr.+Ziauddin+Hospital+Clifton+Campus/data=!4m7!3m6!1s0x3eb33d89424b0c7d:0x58602534a00f5ab8!8m2!3d24.8172531!4d67.0073942!16s%2Fg%2F1tk9p7bp!19sChIJfQxLQok9sz4RuFoPoDQlYFg?authuser=0&hl=en&rclk=1
Al Shafi Hospital,https://www.google.com/maps/place/Al+Shafi+Hospital/data=!4m7!3m6!1s0x3eb33f407b9c4adb:0x8911cce99e7d214c!8m2!3d24.8604225!4d67.000621!16s%2Fg%2F11h2fx7313!19sChIJ20qce0A_sz4RTCF9nunMEYk?authuser=0&hl=en&rclk=1
Darul Sehat Hospital,https://www.google.com/maps/place/Darul+Sehat+Hospital/data=!4m7!3m6!1s0x3eb338e30b3fd8ed:0x85b96905bfc7a882!8m2!3d24.9143327!4d67.127346!16s%2Fg%2F11xxgwbg9!19sChIJ7dg_C-M4sz4RgqjHvwVpuYU?authuser=0&hl=en&rclk=1
Dr. Ziauddin Hospital North Nazimabad Campus,https://www.google.com/maps/place/Dr.+Ziauddin+Hospital+North+Nazimabad+Campus/data=!4m7!3m6!1s0x3eb33f9e13c74301:0x85c9de0ea7691864!8m2!3d24.9246927!4d67.0455168!16s%2Fg%2F1hmbqp_98!19sChIJAUPHE54_sz4RZBhppw7eyYU?authuser=0&hl=en&rclk=1
Chiniot General Hospital,https://www.google.com/maps/place/Chiniot+General+Hospital/data=!4m7!3m6!1s0x3eb33bb6357409b3:0x75a768511995e590!8m2!3d24.8236627!4d67.1433014!16s%2Fm%2F0n52tcp!19sChIJswl0NbY7sz4RkOWVGVFop3U?authuser=0&hl=en&rclk=1
Star General Hospital,https://www.google.com/maps/place/Star+General+Hospital/data=!4m7!3m6!1s0x3eb339ed72b807c9:0xeaa0f72df99edec3!8m2!3d24.8845205!4d67.1679467!16s%2Fg%2F1tgn3672!19sChIJyQe4cu05sz4Rw96e-S33oOo?authuser=0&hl=en&rclk=1
Patel Hospital,https://www.google.com/maps/place/Patel+Hospital/data=!4m7!3m6!1s0x3eb338b3a79a4e5d:0x2c99d9dda1627e81!8m2!3d24.9353513!4d67.0971389!16s%2Fg%2F1tplnsvz!19sChIJXU6ap7M4sz4RgX5iod3ZmSw?authuser=0&hl=en&rclk=1
Fahmeeda Memorial Hospital,https://www.google.com/maps/place/Fahmeeda+Memorial+Hospital/data=!4m7!3m6!1s0x3eb33b3c894ca699:0x5f5c2de62f731a83!8m2!3d24.870748!4d67.188291!16s%2Fg%2F11t_q4t7pv!19sChIJmaZMiTw7sz4RgxpzL-YtXF8?authuser=0&hl=en&rclk=1
Alico General Hospital,https://www.google.com/maps/place/Alico+General+Hospital/data=!4m7!3m6!1s0x3eb339528c2e06f5:0x7bb784aa7c83ecfa!8m2!3d24.9268877!4d67.1384307!16s%2Fg%2F11hzwjhfb5!19sChIJ9QYujFI5sz4R-uyDfKqEt3s?authuser=0&hl=en&rclk=1
Memon Medical Institute Hospital,https://www.google.com/maps/place/Memon+Medical+Institute+Hospital/data=!4m7!3m6!1s0x3eb3386342271637:0x14569da3ac00a17b!8m2!3d24.9455287!4d67.146358!16s%2Fg%2F1tdmccgh!19sChIJNxYnQmM4sz4Re6EArKOdVhQ?authuser=0&hl=en&rclk=1
QuratulAin General Hospital,https://www.google.com/maps/place/QuratulAin+General+Hospital/data=!4m7!3m6!1s0x3eb332ffbce6ff7d:0x9aded2b97717c0b3!8m2!3d24.8607343!4d67.0011364!16s%2Fg%2F11cs0f48v5!19sChIJff_mvP8ysz4Rs8AXd7nS3po?authuser=0&hl=en&rclk=1
Hassan General Hospital,https://www.google.com/maps/place/Hassan+General+Hospital/data=!4m7!3m6!1s0x3eb339fc28ff91bf:0xe8e2682f4307bfd9!8m2!3d24.8804043!4d67.1858317!16s%2Fg%2F11xl0jsvl!19sChIJv5H_KPw5sz4R2b8HQy9o4ug?authuser=0&hl=en&rclk=1
Akhtar Doctor Clinic,https://www.google.com/maps/place/Akhtar+Doctor+Clinic/data=!4m7!3m6!1s0x3eb33ff0f2e288c5:0x9c21d7f7fc0b60b8!8m2!3d24.9286382!4d67.0124167!16s%2Fg%2F11gh0jk88g!19sChIJxYji8vA_sz4RuGAL_PfXIZw?authuser=0&hl=en&rclk=1
East City Hospital,https://www.google.com/maps/place/East+City+Hospital/data=!4m7!3m6!1s0x3eb347d31f8fa631:0xee9ff6757a15a12e!8m2!3d25.006059!4d67.1168733!16s%2Fg%2F11scrvkkws!19sChIJMaaPH9NHsz4RLqEVenX2n-4?authuser=0&hl=en&rclk=1
